瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
措傈,2021, , ,2021-09-11,9老,2021-09-18, ,2021-11-01,9老,2021-11-09,8老, , , , , , ,2021-11-05,11老,2021-11-11,8老, , , , , , ,2021-10-18,-10老,2022-04-02,-2老,2021-10-25,9老, , ,2021-11-07,11老
措傈,2022, , ,2022-09-05,3老,2022-09-22, ,2022-10-23,0老,2022-10-29,-3老, , , , , , ,2022-10-29,4老,2022-11-10,7老, , , , , , ,2022-10-19,-9老,2023-04-27,23老,2022-10-18,2老, , ,2022-10-31,4老
措傈,2023, , ,2023-08-01,-32老,2023-09-15, ,2023-10-26,3老,2023-11-04,3老, , , , , , ,2023-10-31,6老,2023-11-15,12老, , , , , , ,2023-10-21,-7老,2024-03-31,-4老,2023-10-16,0老, , ,2023-10-30,3老
何魂,2004,2004-04-08,0老,2004-09-14,-2老, , ,2004-11-02,1老,2004-11-16,3老, , , , , , ,2004-11-03,1老,2004-11-18,1老, , , , , , ,2004-12-14,-10老,2005-02-25,17老, , , , , , 
何魂,2005,2005-04-11,3老,2005-09-02,-14老, , ,2005-11-02,1老,2005-11-17,4老, , , , , , ,2005-11-02,0老,2005-11-20,3老, , , , , , ,2005-12-19,-5老,2006-03-31,51老, , , , , , 
何魂,2006, , ,2006-09-14,-2老, , ,2006-11-14,13老,2006-11-24,11老, , , , , , ,2006-11-17,15老,2006-11-30,13老, , ,2006-11-17, , , ,2006-12-20,-4老,2007-02-13,5老, , , , , , 
何魂,2007, , ,2007-09-15,-1老, , ,2007-11-05,4老,2007-11-19,6老, , , , , , ,2007-11-01,-1老,2007-11-18,1老, , , , , , ,2008-01-04,10老,2008-03-05,26老, , , , , , 
何魂,2008, , ,2008-09-08,-8老, , ,2008-10-31,-1老,2008-11-14,1老, , , , , , ,2008-10-31,-2老,2008-11-14,-3老, , , , , , ,2009-01-06,13老,2009-01-28,-11老, , , , , , 
何魂,2009, , ,2009-09-10,-6老, , ,2009-10-31,-1老,2009-11-06,-7老, , , , , , ,2009-11-05,3老,2009-11-12,-5老, , , , , , ,2010-02-07,45老,2010-02-07,-1老, , , , , , 
何魂,2010, , ,2010-09-19,3老, , ,2010-10-25,-7老,2010-11-03,-10老, , , , , , ,2010-10-30,-3老,2010-11-07,-10老, , , , , , ,2011-02-09,47老,2011-02-19,11老,2010-10-30, , , ,2010-11-14, 
何魂,2011, , ,2011-09-14,-2老, , ,2011-10-25,-7老,2011-11-06,-7老, , , , , , ,2011-10-29,-4老,2011-11-10,-7老, , , , , , ,2012-02-27,64老,2012-02-27,19老,2011-10-28, , , ,2011-11-05, 
何魂,2012, , ,2012-10-03,17老, , ,2012-11-01,0老,2012-11-09,-4老, , , , , , ,2012-11-03,1老,2012-11-10,-7老, , , , , , ,2012-12-08,-16老,2013-01-29,-10老,2012-10-23, , , ,2012-11-05, 
何魂,2013, , ,2013-09-24,8老, , ,2013-11-02,1老,2013-11-13,0老, , , , , , ,2013-11-03,1老,2013-11-15,-2老, , , , , , ,2013-12-01,-23老,2014-02-20,12老,2013-10-25, , , ,2013-11-04, 
何魂,2014, , ,2014-09-17,1老, , ,2014-10-30,-2老,2014-11-09,-4老, , , , , , ,2014-11-02,0老,2014-11-13,-4老, , , , , , ,2014-11-14,-40老,2015-03-08,28老,2014-10-21, , , , , 
何魂,2015, , ,2015-09-21,5老, , ,2015-10-31,-1老,2015-11-12,-1老, , , , , , ,2015-11-01,-1老,2015-11-16,-1老, , , , , , ,2015-12-05,-19老,2016-01-31,-8老, , , , , , 
何魂,2016, , ,2016-09-06,-10老,2016-09-25, ,2016-10-30,-2老,2016-11-14,1老, , , , , , ,2016-11-01,-1老,2016-11-15,-2老, , , , , , ,2017-01-07,14老,2017-01-07,-32老, , , , , , 
何魂,2017, , ,2017-09-09,-7老,2017-09-20, ,2017-10-31,-1老,2017-11-22,9老, , , , , , ,2017-11-11,9老,2017-11-30,13老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
何魂,2018, , ,2018-09-16,0老,2018-10-03, ,2018-11-01,0老,2018-11-22,9老, , , , , , ,2018-11-15,13老,2018-11-30,13老, , , , , , ,包螟 救凳,—,包螟 救凳,—, , , , , , 
何魂,2019, , ,2019-09-10,-6老,2019-09-30, ,2019-11-04,3老,2019-11-19,6老, , , , , , ,2019-11-12,10老,2019-11-26,9老, , , , , , ,2019-12-03,-21老,2020-02-11,3老, , , , , , 
何魂,2020, , ,2020-09-20,4老,2020-10-03, ,2020-11-06,5老,2020-11-15,2老, , , , , , ,2020-11-14,12老,2020-11-23,6老, , , , , , ,2020-12-22,-2老,2021-01-21,-18老, , , , , , 
何魂,2021, , ,2021-09-19,3老,2021-10-01, ,2021-11-09,8老,2021-11-15,2老, , , , , , ,2021-11-06,4老,2021-11-15,-2老, , , , , , ,2022-01-21,28老,2022-01-22,-17老, , , , , , 
何魂,2022, , ,2022-09-13,-3老,2022-09-28, ,2022-11-09,8老,2022-11-25,12老, , , , , , ,2022-11-07,5老,2022-11-25,8老, , , , , , ,2023-02-11,49老,2023-02-27,19老, , , , , , 
何魂,2023, , ,2023-09-11,-5老,2023-10-04, ,2023-11-05,4老,2023-11-23,10老, , , , , , ,2023-11-07,5老,2023-11-30,13老, , , , , , ,2023-12-04,-20老,2024-03-13,34老, , , , , , 
辑匡,2004,2004-05-14,20老,2004-08-24,-2老, , ,2004-10-23,-3老,2004-11-08,5老, , , , , , ,2004-10-23,-5老,2004-11-09,1老, , , , , , ,2004-11-07,10老,2005-03-11,-15老,2004-10-10,-5老, , ,2004-10-26,-2老
辑匡,2005,2005-05-13,19老,2005-09-10,15老, , ,2005-10-27,1老,2005-11-06,3老, , , , , , ,2005-10-23,-5老,2005-11-04,-4老, , , , , , ,2005-10-23,-5老,2006-03-30,4老,2005-10-20,5老, , ,2005-10-24,-4老
辑匡,2006, , ,包螟 救凳,—, , ,2006-10-23,-3老,2006-11-03,0老, , , , , , ,2006-10-30,2老,2006-11-17,9老, , , , , , ,2006-11-12,15老,2007-03-14,-12老,2006-10-13,-2老, , ,2006-11-01,4老
辑匡,2007, , ,包螟 救凳,—, , ,2007-10-23,-3老,2007-11-02,-1老, , , , , , ,2007-11-01,4老,2007-11-09,1老, , , , , , ,2007-10-21,-7老,2008-03-07,-19老,2007-10-19,4老, , ,2007-10-23,-5老
辑匡,2008, , ,包螟 救凳,—, , ,2008-10-19,-7老,2008-10-25,-9老, , , , , , ,2008-11-02,5老,2008-11-06,-2老, , , , , , ,2008-11-12,15老,2009-03-15,-11老,2008-10-21,6老, , ,2008-10-27,-1老
辑匡,2009, , ,包螟 救凳,—, , ,2009-10-27,1老,2009-10-31,-3老, , , , , , ,2009-10-31,3老,2009-11-09,1老, , , , , , ,2009-11-03,6老,2010-03-19,-7老,2009-10-09,-6老, , ,2009-10-26,-2老
辑匡,2010, , ,2010-08-24,-2老, , ,2010-10-19,-7老,2010-10-30,-4老, , , , , , ,2010-10-26,-2老,2010-11-05,-3老, , , , , , ,2010-10-27,-1老,2011-03-31,5老,2010-10-18,3老, , ,2010-11-01,4老
辑匡,2011, , ,2011-08-19,-7老, , ,2011-10-21,-5老,2011-10-26,-8老, , , , , , ,2011-10-24,-4老,2011-11-12,4老, , , , , , ,2011-10-26,-2老,2012-04-06,11老,2011-10-14,-1老, , ,2011-10-25,-3老
辑匡,2012, , ,2012-08-13,-13老, , ,2012-10-21,-5老,2012-10-30,-4老, , , , , , ,2012-10-25,-3老,2012-11-08,0老, , , , , , ,2012-10-31,3老,2013-03-13,-13老,2012-10-15,0老, , ,2012-10-26,-2老
辑匡,2013, , ,2013-08-14,-12老, , ,2013-10-23,-3老,2013-11-01,-2老, , , , , , ,2013-10-30,2老,2013-11-15,7老, , , , , , ,2013-10-27,-1老,2014-03-21,-5老,2013-10-19,4老, , ,2013-10-30,2老
辑匡,2014, , ,2014-08-01,-25老, , ,2014-10-23,-3老,2014-10-31,-3老, , , , , , ,2014-10-27,-1老,2014-11-07,-1老, , , , , , ,2014-10-28,0老,2015-03-27,1老,2014-10-13,-2老, , ,2014-10-28,0老
辑匡,2015, , ,2015-08-30,4老,2015-09-11, ,2015-10-21,-5老,2015-11-10,7老, , , , , , ,2015-11-01,4老,2015-11-06,-2老, , , , , , ,2015-10-30,2老,2016-02-25,-30老,2015-10-14,-1老, , ,2015-10-29,1老
辑匡,2016, , ,2016-09-04,9老,2016-09-19, ,2016-10-18,-8老,2016-10-31,-3老, , , , , , ,2016-10-20,-8老,2016-11-04,-4老, , , , , , ,2016-10-30,2老,2017-04-02,7老,2016-10-17,2老, , ,2016-10-27,-1老
辑匡,2017, , ,2017-09-03,8老,2017-09-19, ,2017-10-20,-6老,2017-10-30,-4老, , , , , , ,2017-10-24,-4老,2017-11-08,0老, , , , , , ,2017-10-31,3老,2018-04-09,14老,2017-10-14,-1老, , ,2017-10-30,2老
辑匡,2018, , ,2018-09-19,24老,2018-09-29, ,2018-10-25,-1老,2018-11-03,0老, , , , , , ,2018-10-22,-6老,2018-11-04,-4老, , , , , , ,2018-10-12,-16老,2019-04-15,20老,2018-10-12,-3老, , ,2018-10-29,1老
辑匡,2019, , ,2019-09-14,19老,包螟 救凳,—,2019-11-01,6老,2019-11-13,10老, , , , , , ,2019-10-14,-14老,2019-11-07,-1老, , , , , , ,2019-10-27,-1老,2020-04-06,11老,2019-10-11,-4老, , ,2019-11-01,4老
辑匡,2020, , ,2020-08-31,5老,2020-09-25, ,2020-11-01,6老,2020-11-09,6老, , , , , , ,2020-10-19,-9老,2020-11-08,0老, , , , , , ,2020-10-24,-4老,2021-04-19,24老,2020-10-16,1老, , ,2020-10-30,2老
辑匡,2021, , ,搬螟,—,搬螟,—,2021-11-07,12老,2021-11-14,11老, , , , , , ,2021-10-22,-6老,2021-11-05,-3老, , , , , , ,2021-10-18,-10老,2022-04-05,10老,2021-10-20,5老, , ,2021-11-01,4老
辑匡,2022, , ,2022-08-24,-2老,2022-09-25, ,2022-11-05,10老,2022-11-14,11老, , , , , , ,2022-10-17,-11老,2022-11-02,-6老, , , , , , ,2022-10-18,-10老,2023-04-09,14老,2022-10-18,3老, , ,2022-10-28,0老
辑匡,2023,2023-03-26,-29老,2023-08-03,-23老,搬螟,—,2023-11-05,10老,2023-11-17,14老, , , , , , ,2023-10-19,-9老,2023-11-16,8老, , , , , , ,2023-11-08,11老,2024-03-21,-5老,2023-10-17,2老, , ,2023-10-27,-1老
匡魂,2004,2004-04-05,-9老,2004-08-28,-13老, , ,2004-11-04,6老,2004-11-20,11老, , , , , , ,2004-10-29,1老,2004-11-20,11老, , , , , , ,2004-11-30,11老,2005-03-05,-18老, , , , , , 
匡魂,2005,2005-04-15,1老,2005-09-03,-7老, , ,2005-11-01,3老,2005-11-16,7老, , , , , , ,2005-10-31,3老,2005-11-15,6老, , , , , , ,2005-11-25,6老,2006-03-31,8老, , , , , , 
匡魂,2006, , ,2006-09-02,-8老, , ,2006-11-04,6老,2006-11-17,8老, , , , , , ,2006-11-03,6老,2006-11-16,7老, , , , , , ,2006-11-13,-6老,2007-04-17,25老, , , , , , 
匡魂,2007, , ,2007-09-10,0老, , ,2007-10-30,1老,2007-11-12,3老, , , , , , ,2007-11-05,8老,2007-11-20,11老, , , , , , ,2007-11-13,-6老,2008-03-27,4老, , , , , , 
匡魂,2008, , ,2008-09-07,-3老, , ,2008-10-30,1老,2008-11-12,3老, , , , , , ,2008-11-01,4老,2008-11-15,6老, , , , , , ,2008-11-26,7老,2009-03-26,3老, , , , , , 
匡魂,2009, , ,2009-09-08,-2老, , ,2009-10-30,1老,2009-11-05,-4老, , , , , , ,2009-10-30,2老,2009-11-12,3老, , , , , , ,2009-11-23,4老,2010-04-08,16老, , , , , , 
匡魂,2010, , ,2010-09-23,13老, , ,2010-10-29,0老,2010-11-06,-3老, , , , , , ,2010-10-29,1老,2010-11-06,-3老, , , , , , ,2010-11-10,-9老,2011-04-06,14老,2010-10-21,1老, , ,2010-11-04,4老
匡魂,2011, , ,2011-09-09,-1老, , ,2011-10-29,0老,2011-11-07,-2老, , , , , , ,2011-10-29,1老,2011-11-07,-2老, , , , , , ,2011-11-16,-3老,2012-03-14,-9老,2011-10-23,3老, , ,2011-10-29,-2老
匡魂,2012, , ,2012-09-22,12老, , ,2012-11-02,4老,2012-11-09,0老, , , , , , ,2012-11-02,5老,2012-11-09,0老, , , , , , ,2012-11-16,-3老,2013-03-26,3老,2012-10-19,-1老, , ,2012-10-29,-2老
匡魂,2013, , ,2013-09-29,19老, , ,2013-10-24,-5老,2013-11-04,-5老, , , , , , ,2013-10-24,-4老,2013-11-04,-5老, , , , , , ,2013-11-13,-6老,2014-03-22,-1老,2013-10-24,4老, , ,2013-11-04,4老
匡魂,2014, , ,2014-09-20,10老, , ,2014-10-28,-1老,2014-11-12,3老, , , , , , ,2014-10-28,0老,2014-11-12,3老, , , , , , ,2014-11-15,-4老,2015-03-26,3老,2014-10-14,-6老, , ,2014-10-29,-2老
匡魂,2015, , ,2015-09-20,10老, , ,2015-10-27,-2老,2015-11-10,1老, , , , , , ,2015-10-27,-1老,2015-11-10,1老, , , , , , ,2015-12-07,18老,2016-03-15,-8老,2015-10-19,-1老, , ,2015-10-29,-2老
匡魂,2016, , ,2016-09-05,-5老, , ,2016-11-01,3老,2016-11-12,3老, , , , , , ,2016-10-26,-2老,2016-11-09,0老, , , , , , ,2016-11-28,9老,2017-04-02,10老,2016-10-18,-2老, , ,2016-11-03,3老
匡魂,2017, , ,2017-09-06,-4老,2017-09-21, ,2017-10-30,1老,2017-11-08,-1老, , , , , , ,2017-10-25,-3老,2017-11-05,-4老, , , , , , ,2017-11-16,-3老,2018-03-12,-11老,2017-10-16,-4老, , ,2017-10-31,0老
匡魂,2018, , ,2018-09-18,8老,2018-10-06, ,2018-10-24,-5老,2018-11-13,4老, , , , , , ,2018-10-22,-6老,2018-11-10,1老, , , , , , ,2018-11-24,5老,2019-03-18,-5老,2018-10-17,-3老, , ,2018-10-31,0老
匡魂,2019, , ,2019-09-16,6老,2019-09-28, ,2019-11-07,9老,2019-11-16,7老, , , , , , ,2019-11-05,8老,2019-11-15,6老, , , , , , ,2019-11-20,1老,2020-02-11,-41老,2019-10-22,2老, , ,2019-10-30,-1老
匡魂,2020, , ,2020-09-18,8老,2020-09-29, ,2020-10-29,0老,2020-11-04,-5老, , , , , , ,2020-10-28,0老,2020-11-02,-7老, , , , , , ,2020-12-22,33老,2021-03-11,-12老,2020-10-21,1老, , ,2020-10-28,-3老
匡魂,2021, , ,2021-09-20,10老,2021-09-29, ,2021-10-29,0老,2021-11-07,-2老, , , , , , ,2021-10-29,1老,2021-11-09,0老, , , , , , ,2021-12-05,16老,2022-04-02,10老,2021-10-29,9老, , ,2021-11-04,4老
匡魂,2022, , ,2022-09-16,6老,2022-09-30, ,2022-10-24,-5老,2022-11-02,-7老, , , , , , ,2022-10-24,-4老,2022-11-07,-2老, , , , , , ,2022-12-07,18老,2023-02-28,-23老,2022-10-20,0老, , ,2022-10-28,-3老
匡魂,2023, , ,2023-09-18,8老,2023-09-28, ,2023-10-24,-5老,2023-11-07,-2老, , , , , , ,2023-10-24,-4老,2023-11-07,-2老, , , , , , ,2023-11-21,2老,2024-03-27,4老,2023-10-18,-2老, , ,2023-10-27,-4老
碍拳,2004,2004-05-11,1老,2004-08-31,-3老, , ,2004-10-23,0老,2004-11-04,0老, , , , , , ,2004-10-23,0老,2004-11-04,0老, , , , , , ,2004-11-06,12老,2005-03-31,-2老, , , , , , 
碍拳,2005,2005-05-13,3老,2005-09-02,-1老, , ,2005-10-25,2老,2005-11-05,1老, , , , , , ,2005-10-24,1老,2005-11-04,0老, , , , , , ,2005-10-23,-2老,2006-03-24,-9老, , , , , , 
碍拳,2006,2006-05-11,1老,2006-09-07,4老, , ,2006-11-01,9老,2006-11-10,6老, , , , , , ,2006-10-29,6老,2006-11-09,5老, , , , , , ,2006-11-12,18老,2007-04-05,3老, , , , , , 
碍拳,2007,2007-05-14,4老,2007-09-03,0老, , ,2007-10-29,6老,2007-11-09,5老, , , , , , ,2007-10-26,3老,2007-11-07,3老, , , , , , ,2007-10-21,-4老,2008-04-28,26老, , , , , , 
碍拳,2008, , ,2008-09-02,-1老, , ,2008-10-25,2老,2008-11-08,4老, , , , , , ,2008-10-21,-2老,2008-11-06,2老, , , , , , ,2008-10-28,3老, , , , , , , , 
归飞档,2004, , ,2004-08-26,10老, , ,2004-10-25,0老,2004-11-10,6老, , , , , , ,2004-10-23,-1老,2004-11-06,1老, , , , , , ,2004-12-06,-11老,2005-03-06,3老, , , , , , 
归飞档,2005, , ,2005-09-02,17老, , ,2005-10-31,6老,2005-11-13,9老, , , , , , ,2005-10-30,6老,2005-11-06,1老, , , , , , ,2005-11-26,-21老,2006-02-11,-20老, , , , , , 
归飞档,2006, , ,2006-09-05,20老, , ,2006-10-25,0老,2006-11-03,-1老, , , , , , ,2006-10-25,1老,2006-11-03,-2老, , , , , , ,2006-12-06,-11老,2007-03-13,10老, , , , , , 
归飞档,2007, , ,2007-09-04,19老, , ,2007-10-28,3老,2007-11-09,5老, , , , , , ,2007-10-28,4老,2007-11-09,4老, , , , , , ,2007-12-09,-8老,2008-02-28,-4老, , , , , , 
归飞档,2008, , ,2008-08-22,6老, , ,2008-10-24,-1老,2008-11-12,8老, , , , , , ,2008-10-25,1老,2008-11-12,7老, , , , , , ,2009-01-17,31老,2009-02-06,-25老, , , , , , 
归飞档,2009, , ,2009-09-02,17老, , ,2009-10-27,2老,2009-11-05,1老, , , , , , ,2009-10-18,-6老,2009-11-05,0老, , , , , , ,2009-12-02,-15老,2010-02-07,-24老, , , , , , 
归飞档,2010, , ,2010-08-21,5老, , ,2010-10-25,0老,2010-11-06,2老, , , , , , ,2010-10-27,3老,2010-11-06,1老, , , , , , ,2010-12-22,5老,2011-02-20,-11老, , , , , , 
归飞档,2011, , ,2011-07-10,-37老, , ,2011-10-27,2老,2011-11-05,1老, , , , , , ,2011-10-25,1老,2011-11-05,0老, , , , , , ,2011-12-30,13老,2012-03-13,10老, , , , , , 
归飞档,2012, , ,2012-07-13,-34老, , ,2012-10-25,0老,2012-11-06,2老, , , , , , ,2012-10-24,0老,2012-11-05,0老, , , , , , ,2012-12-12,-5老,2013-03-19,16老, , , , , , 
归飞档,2013, , ,2013-07-03,-44老, , ,2013-10-21,-4老,2013-10-28,-7老, , , , , , ,2013-10-20,-4老,2013-10-27,-9老, , , , , , ,2013-12-23,6老,2014-02-16,-15老, , , , , , 
归飞档,2014, , ,2014-06-13,-64老, , ,2014-10-18,-7老,2014-10-26,-9老, , , , , , ,2014-10-18,-6老,2014-10-24,-12老, , , , , , ,包螟 救凳,—, , , , , , , , 
归飞档,2015, , ,2015-07-15,-32老,2015-07-23, ,2015-10-25,0老,2015-11-06,2老, , , , , , ,2015-10-24,0老,2015-11-05,0老, , , , , , ,2016-02-27,71老, , , , , , , , 
归飞档,2016, , ,2016-09-02,17老,2016-09-13, ,2016-10-23,-2老,2016-10-29,-6老, , , , , , ,2016-10-21,-3老,2016-10-27,-9老, , , , , , ,2017-02-13,58老,2017-03-10,7老, , , , , , 
归飞档,2017, , ,2017-09-04,19老,2017-09-20, ,2017-10-27,2老,2017-11-08,4老, , , , , , ,2017-10-25,1老,2017-11-06,1老, , , , , , ,2018-02-19,64老,2018-03-22,19老, , , , , , 
归飞档,2018, , ,2018-08-30,14老,2018-09-10, ,2018-10-24,-1老,2018-10-31,-4老, , , , , , ,2018-10-22,-2老,2018-11-03,-2老, , , , , , ,2018-12-20,3老,2019-04-11,39老, , , , , , 
归飞档,2019, , ,2019-08-27,11老,2019-09-05, ,2019-10-23,-2老,2019-11-02,-2老, , , , , , ,2019-10-29,5老,2019-11-20,15老, , , , , , ,2019-11-26,-21老,2020-03-30,27老, , , , , , 
归飞档,2020, , ,2020-09-02,17老,2020-09-19, ,2020-10-24,-1老,2020-11-05,1老, , , , , , ,2020-10-27,3老,2020-11-13,8老, , , , , , ,2020-11-21,-26老,2021-03-10,7老, , , , , , 
归飞档,2021, , ,2021-09-04,19老,2021-09-20, ,2021-10-24,-1老,2021-11-10,6老, , , , , , ,2021-10-20,-4老,2021-11-03,-2老, , , , , , ,2021-11-27,-20老,2022-03-29,26老, , , , , , 
归飞档,2022,2022-09-17, ,2022-09-17,32老,2022-09-29, ,2022-10-28,3老,2022-11-12,8老, , , , , , ,2022-10-20,-4老,2022-11-02,-3老, , , , , , ,2022-12-08,-9老,2023-03-28,25老, , , , , , 
归飞档,2023, , ,2023-09-09,24老,2023-09-18, ,2023-11-03,9老,2023-11-20,16老, , , , , , ,2023-10-26,2老,2023-11-17,12老, , , , , , ,2023-12-03,-14老,2024-04-01,29老, , , , , , 
牢玫,2004,2004-06-02,14老,2004-09-11,16老, , ,2004-10-22,-4老,2004-11-08,2老, , , , , , ,2004-10-24,-4老,2004-11-09,0老, , , , , , ,2004-11-21,10老,2005-03-19,-4老, , , , , , 
牢玫,2005, , ,2005-09-05,10老, , ,2005-10-24,-2老,2005-11-02,-4老, , , , , , ,2005-10-25,-3老,2005-11-03,-6老, , , , , , ,2005-11-19,8老,2006-03-15,-8老, , , , , , 
牢玫,2006,2006-05-15,-4老,2006-09-15,20老, , ,2006-10-30,4老,2006-11-08,2老, , , , , , ,2006-11-02,5老,2006-11-11,2老, , , , , , ,2006-12-05,24老,2007-03-09,-14老, , , , , , 
牢玫,2007, , ,2007-09-17,22老, , ,2007-10-24,-2老,2007-11-04,-2老, , , , , , ,2007-11-02,5老,2007-11-10,1老, , , , , , ,2007-11-16,5老,2008-03-17,-6老, , , , , , 
牢玫,2008, , ,2008-09-07,12老, , ,2008-10-20,-6老,2008-11-01,-5老, , , , , , ,2008-10-31,3老,2008-11-03,-6老, , , , , , ,2008-11-19,8老,2009-03-04,-19老, , , , , , 
牢玫,2009, , ,2009-09-10,15老, , ,2009-10-29,3老,2009-11-05,-1老, , , , , , ,2009-11-09,12老,2009-11-26,17老, , , , , , ,2009-11-03,-8老,2010-03-03,-20老, , , , , , 
牢玫,2010, , ,2010-08-19,-7老, , ,2010-10-30,4老,2010-11-07,1老, , , , , , ,2010-10-31,3老,2010-11-10,1老, , , , , , ,2010-11-19,8老,2011-04-01,9老, , , , , , 
牢玫,2011, , ,2011-08-03,-23老, , ,2011-10-28,2老,2011-11-07,1老, , , , , , ,2011-10-27,-1老,2011-11-08,-1老, , , , , , ,2011-11-21,10老,2012-03-15,-8老, , , , , , 
牢玫,2012, , ,2012-08-06,-20老, , , , , , , , , , , , ,2012-11-02,5老,2012-11-12,3老, , , , , , ,2012-11-15,4老,2013-04-03,11老, , , , , , 
牢玫,2013, , ,2013-08-15,-11老, , ,2013-11-07,12老,2013-11-15,9老, , , , , , ,2013-11-05,8老,2013-11-18,9老, , , , , , ,2013-11-08,-3老,2014-03-22,-1老, , , , , , 
牢玫,2014, , ,2014-08-15,-11老, , ,2014-10-23,-3老,2014-11-05,-1老, , , , , , ,2014-10-28,0老,2014-11-07,-2老, , , , , , ,2014-11-14,3老,2015-03-15,-8老, , , , , , 
牢玫,2015, , ,2015-07-14,-43老,2015-09-11,-6老,2015-10-19,-7老,2015-11-05,-1老, , , , , , ,2015-10-16,-12老,2015-11-04,-5老, , , , , , ,2015-12-01,20老,2016-03-26,3老, , , , , , 
牢玫,2016,2016-06-24,36老,2016-06-28,-59老,2016-08-13,-35老,2016-10-26,0老,2016-11-04,-2老, , , , , , ,2016-10-15,-13老,2016-11-07,-2老, , , , , , ,2016-11-02,-9老,2017-03-19,-4老, , , , , , 
牢玫,2017, , ,2017-09-12,17老,2017-09-22,5老,2017-10-25,-1老,2017-11-03,-3老, , , , , , ,2017-10-19,-9老,2017-11-06,-3老, , , , , , ,2017-11-12,1老,2018-03-10,-13老, , , , , , 
牢玫,2018, , ,2018-09-14,19老,2018-09-24,7老,2018-10-26,0老,2018-11-07,1老, , , , , , ,2018-10-20,-8老,2018-11-05,-4老, , , , , , ,2018-11-20,9老,2019-03-24,1老, , , , , , 
牢玫,2019, , ,2019-09-16,21老,2019-09-25,8老,2019-11-02,7老,2019-11-13,7老, , , , , , ,2019-10-21,-7老,2019-11-08,-1老, , , , , , ,2019-11-20,9老,2020-04-06,14老, , , , , , 
牢玫,2020, , ,2020-09-15,20老,2020-09-26,9老,2020-10-27,1老,2020-11-09,3老, , , , , , ,2020-10-22,-6老,2020-11-06,-3老, , , , , , ,2020-11-10,-1老,2021-03-30,7老, , , , , , 
牢玫,2021, , ,2021-09-30,35老,2021-10-10,23老,2021-10-30,4老,2021-11-08,2老, , , , , , ,2021-10-26,-2老,2021-11-04,-5老, , , , , , ,2021-11-17,6老,2022-04-02,10老, , , , , , 
牢玫,2022, , ,2022-09-15,20老,2022-09-26,9老,2022-10-25,-1老,2022-11-10,4老, , , , , , ,2022-10-25,-3老,2022-11-07,-2老, , , , , , ,2022-11-05,-6老,2023-03-28,5老, , , , , , 
牢玫,2023, , ,2023-08-25,-1老,2023-09-11,-6老,2023-10-23,-3老,2023-10-30,-7老, , , , , , ,2023-10-25,-3老,2023-11-16,7老, , , , , , ,2023-11-07,-4老,2024-03-21,-2老, , , , , , 
绊蕊,2004,2004-04-10,-17老,2004-09-12,-2老, , ,2004-10-28,-1老,2004-11-08,-1老, , , , , , ,2004-10-29,-1老,2004-11-12,2老, , , , , , ,2004-10-27,-4老,2005-04-16,9老, , , , , , 
绊蕊,2005,2005-04-29,2老,2005-09-23,9老, , ,2005-10-26,-3老,2005-11-10,1老, , , , , , ,2005-10-28,-2老,2005-11-11,1老, , , , , , ,2005-11-01,1老,2006-03-31,-7老, , , , , , 
绊蕊,2006,2006-04-14,-13老,2006-09-15,1老, , ,2006-10-25,-4老,2006-11-07,-2老, , , , , , ,2006-10-26,-4老,2006-11-10,0老, , , , , , ,2006-11-08,8老,2007-04-05,-2老, , , , , , 
绊蕊,2007,2007-04-12,-15老,2007-09-14,0老, , ,2007-10-29,0老,2007-11-10,1老, , , , , , ,2007-10-30,0老,2007-11-12,2老, , , , , , ,2007-11-03,3老,2008-03-08,-30老, , , , , , 
绊蕊,2008,2008-04-11,-16老,2008-09-12,-2老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
格器,2004, , ,2004-09-05,-5老, , ,2004-10-26,-5老,2004-11-06,-4老, , , , , , ,2004-10-26,-4老,2004-11-06,-4老, , , , , , ,2004-12-06,12老,2005-03-19,-1老, , , , , , 
格器,2005, , ,2005-08-28,-13老, , ,2005-10-28,-3老,2005-11-10,0老, , , , , , ,2005-10-28,-2老,2005-11-10,0老, , , , , , ,2005-11-18,-6老,2006-03-31,11老, , , , , , 
格器,2006, , ,2006-09-01,-9老, , ,2006-11-03,3老,2006-11-22,12老, , , , , , ,2006-11-05,6老,2006-11-22,12老, , , , , , ,2006-12-04,10老,2007-03-10,-10老, , , , , , 
格器,2007, , ,2007-08-24,-17老, , ,2007-10-22,-9老,2007-11-06,-4老, , , , , , ,2007-10-22,-8老,2007-11-06,-4老, , , , , , ,2007-11-19,-5老,2008-03-10,-10老, , , , , , 
