瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
悼秦,2005,2005-04-14,-4老, , , , , , , , , , , , , , , , , , , , , , ,2005-04-14,7老, , , , , , ,2005-07-01,2老, , , , , , , , , , , , , , , , , , ,2005-05-20,7老, , , , , , ,2005-06-21,-4老,2005-09-01,-19老, , , , , , , , ,2005-05-04,5老,2005-08-29,-1老, , ,2005-02-17,-17老,2005-03-25,2老, , ,2005-03-26,10老,2005-04-02,7老, , ,2005-03-25,9老,2005-04-06,11老, , ,2005-03-20,-3老,2005-04-08,3老, , ,2005-05-02,8老,2005-05-14,2老, , ,2005-03-27,2老,2005-04-14,3老, , ,2005-03-27,2老,2005-04-15,2老, , ,2005-10-24,-1老,2005-10-29,-6老, , , , , , ,2005-10-24,-1老,2005-10-29,-6老, , , , , , ,2005-11-17,-6老,2006-03-20,-1老,2005-11-17,3老,2006-03-31,3老,2005-12-31,20老,2006-03-30,7老,2006-01-05,43老,2006-04-01,-11老, , , , , , , , , , , , , , , , , , , , 
悼秦,2006,2006-04-13,-5老,2006-10-11,-4老, , , , , , , , , , , , , , , , , , , , ,2006-04-16,9老, , , , , , ,2006-07-03,4老, , , , , , , , , , , , , , , , , , ,2006-05-14,1老, , , , , , ,2006-06-22,-3老,2006-09-30,10老, , , , , , , , ,2006-04-21,-8老,2006-09-23,24老, , ,2006-03-10,4老,2006-03-19,-4老, , ,2006-03-09,-7老,2006-03-20,-6老, , ,2006-03-17,1老,2006-03-21,-5老, , ,2006-03-20,-3老,2006-04-03,-2老, , ,2006-05-04,10老,2006-05-20,8老, , ,2006-03-21,-4老,2006-04-03,-8老, , ,2006-04-05,11老,2006-04-15,2老, , ,2006-10-30,5老,2006-11-15,11老, , , , , , ,2006-10-30,5老,2006-11-15,11老, , , , , , ,2006-12-21,28老,2007-03-20,-1老,2006-11-07,-7老,2007-03-20,-8老,2006-12-17,6老,2007-03-19,-4老,2006-11-07,-16老,2007-03-23,-20老, , , , , , , , , , , , , , , , , , , , 
悼秦,2007,2007-04-15,-3老,2007-10-07,-8老, , , , ,2007-06-21,12老, , , , , , ,2007-04-18,12老, , , , , , ,2007-04-05,-2老, , , , , , ,2007-06-18,-11老, , , , , , , , , , ,2007-04-07,-24老,搬螟,—, , , , ,2007-05-07,-6老,2007-09-05, , , , , ,2007-06-19,-6老,2007-09-21,1老, , , , , , , , ,2007-05-01,2老,2007-09-05,6老, , ,2007-02-28,-6老,2007-03-23,0老, , ,2007-03-07,-9老,2007-03-23,-3老, , ,2007-02-28,-16老,2007-03-23,-3老, , ,2007-03-13,-10老,2007-03-31,-5老, , ,2007-04-27,3老,2007-05-05,-7老, , ,2007-04-01,7老,2007-04-11,0老, , ,2007-04-02,8老,2007-04-13,0老, , ,2007-10-31,6老,2007-11-13,9老, , , , , , ,2007-10-31,6老,2007-11-11,7老, , , , , , ,2007-11-16,-7老,2008-03-21,0老,2007-11-17,3老,2008-03-21,-7老,2007-11-21,-20老,2008-03-04,-19老,2007-11-20,-3老,2008-04-12,0老, , , , , , , , , , , , , , , , , , , , 
悼秦,2008,2008-04-23,5老,2008-10-25,10老, , , , ,2008-06-19,10老, , , , , , ,2008-03-11,-26老, , , , , , ,2008-03-24,-14老, , , , , , ,2008-06-27,-2老, , , , , , , , , , ,2008-04-25,-6老, , , , , , ,2008-05-18,5老, , , , , , ,2008-06-27,2老,2008-09-19,-1老,包螟 救凳,—, , , , , , , , ,2008-08-10,-20老, , ,2008-03-06,0老,2008-03-19,-4老, , ,2008-03-10,-6老,2008-03-21,-5老, , ,2008-03-10,-6老,2008-03-21,-5老, , ,2008-03-15,-8老,2008-04-03,-2老, , ,2008-04-20,-4老,2008-05-09,-3老, , ,2008-03-13,-12老,2008-04-10,-1老, , ,2008-03-13,-12老,2008-04-10,-3老, , ,2008-10-30,5老,2008-11-15,11老, , , , , , ,2008-10-20,-5老,2008-11-10,6老, , , , , , ,2008-12-17,24老,2009-03-24,3老,2008-11-18,4老,2009-03-24,-4老,2008-12-21,10老,2009-04-01,9老,2008-11-28,5老,2009-04-29,17老, , , , , , , , , , , , , , , , , , , , 
悼秦,2009,2009-04-15,-3老,2009-10-22,7老, , , , ,2009-05-01,-39老, , , , , , ,2009-04-08,2老, , , , , , ,2009-03-18,-20老, , , , , , ,2009-06-25,-4老, , , , , , , , , , ,2009-04-20,-11老, , , , , , ,2009-05-05,-8老, , , , , , ,2009-06-21,-4老,2009-09-16,-4老,搬螟,—, , , , , , , , ,2009-08-25,-5老, , ,2009-03-04,-2老,2009-03-19,-4老, , ,2009-03-17,1老,2009-03-19,-7老, , ,2009-03-11,-5老,2009-03-18,-8老, , ,2009-03-19,-4老,2009-03-30,-6老, , ,2009-04-17,-7老,2009-05-05,-7老, , ,2009-03-19,-6老,2009-04-10,-1老, , ,2009-03-17,-8老,2009-04-10,-3老, , ,2009-10-20,-5老,2009-10-27,-8老, , , , , , ,2009-10-20,-5老,2009-10-27,-8老, , , , , , ,2009-11-03,-20老,2010-04-08,18老,2009-11-03,-11老,2010-04-16,19老,2009-11-02,-39老,2010-03-27,4老,2009-11-02,-21老,2010-05-13,31老, , , , , , , , , , , , , , , , , , , , 
悼秦,2010,2010-04-20,2老,2010-10-21,6老, , , , ,包螟 救凳,—, , , , , , ,2010-04-10,4老, , , , , , ,2010-05-04,27老, , , , , , ,2010-06-23,-6老, , , , , , ,2010-04-20, , , ,2010-05-15,14老, , , , , , ,2010-05-27,14老, , , , , , ,2010-06-22,-3老,2010-09-18,-2老,包螟 救凳,—, , , , , , , , ,2010-09-01,2老, , ,2010-03-12,6老,2010-04-02,10老, , ,2010-03-19,3老,2010-04-03,8老, , ,2010-03-14,-2老,2010-04-03,8老, , ,2010-03-30,7老,2010-04-17,12老, , ,2010-05-03,9老,2010-05-17,5老, , ,2010-03-30,5老,2010-04-25,14老, , ,2010-03-30,5老,2010-04-25,12老, , ,2010-10-21,-4老,2010-10-29,-6老, , , , , , ,2010-10-21,-4老,2010-10-29,-6老, , , , , , ,2010-11-19,-4老,2011-04-04,14老,2010-11-03,-11老,2011-04-04,7老,2010-12-09,-2老,2011-03-25,2老,2010-11-27,4老,2011-03-28,-15老, , , , , , , , , , , , , , , , , , , , 
悼秦,2011,2011-04-21,3老,2011-10-28,13老, , , , ,2011-06-02,-7老, , , , , , ,2011-04-13,7老, , , , , , ,2011-04-05,-2老, , , , , , ,2011-07-04,5老, , , , , , , , , , ,2011-05-18,17老, , , , , , ,2011-05-23,10老, , , , , , ,2011-07-04,9老,2011-09-15,-5老,包螟 救凳,—, , , , , , , , ,2011-08-29,-1老, , ,2011-03-15,9老,2011-04-01,9老, , ,2011-03-21,5老,2011-04-01,6老, , ,2011-03-19,3老,2011-04-01,6老, , ,2011-04-01,9老,2011-04-10,5老, , ,2011-05-05,11老,2011-05-18,6老, , ,2011-04-01,7老,2011-04-15,4老, , ,2011-04-01,7老,2011-04-15,2老, , ,2011-10-18,-7老,2011-10-28,-7老, , , , , , ,2011-10-18,-7老,2011-10-28,-7老, , , , , , ,2011-12-05,12老,2012-03-08,-13老,2011-11-20,6老,2012-03-13,-15老,2011-12-01,-10老,2012-04-03,11老,2011-11-30,7老,2012-04-20,8老, , , , , , , , , , , , , , , , , , , , 
悼秦,2012,2012-04-20,2老,2012-10-20,5老, , , , ,2012-05-30,-10老, , , , , , ,2012-04-10,4老, , , , , , ,2012-04-20,13老, , , , , , ,2012-06-25,-4老, , , , , , , , , , ,2012-05-25,24老, , , , , , ,2012-05-18,5老, , , , , , ,2012-06-29,4老,2012-09-25,5老,包螟 救凳,—,包螟 救凳,—, , , , , , ,2012-09-04,5老, , ,2012-03-19,13老,2012-04-02,10老, , ,2012-03-28,12老,2012-04-05,10老, , ,2012-03-29,13老,2012-04-05,10老, , ,2012-04-03,11老,2012-04-12,7老, , ,2012-04-26,2老,2012-05-17,5老, , ,2012-04-08,14老,2012-04-18,7老, , ,2012-04-10,16老,2012-04-18,5老, , ,2012-10-18,-7老,2012-10-30,-5老, , , , , , ,2012-10-20,-5老,2012-10-30,-5老, , , , , , ,2012-11-02,-21老,2013-04-03,13老,2012-11-20,6老,2013-04-10,13老,2012-12-01,-10老,2013-04-07,15老,2012-11-13,-10老,2013-04-23,11老, , , , , , , , , , , , , , , , , , , , 
悼秦,2013,2013-04-15,-3老,搬螟,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2013-03-19,-19老, , , , , , ,2013-07-03,4老, , , , , , , , , , ,2013-06-11,41老, , , , , , ,2013-05-15,2老, , , , , , ,2013-07-01,6老,2013-09-25,5老,包螟 救凳,—, , , , , , , , ,2013-08-24,-6老, , ,2013-03-06,0老,2013-03-29,6老, , ,2013-03-06,-10老,2013-03-18,-8老, , ,2013-03-06,-10老,2013-03-19,-7老, , ,2013-04-02,10老,2013-04-09,4老, , ,2013-04-23,-1老,2013-05-16,4老, , ,2013-04-08,14老,2013-04-18,7老, , ,2013-04-08,14老,2013-04-18,5老, , ,2013-10-23,-2老,2013-10-31,-4老, , , , , , ,2013-10-23,-2老,2013-10-31,-4老, , , , , , ,2013-12-08,15老,2014-03-21,0老,2013-11-12,-2老,2014-03-15,-13老,2013-11-27,-14老,2014-04-04,12老,2013-11-27,4老,2014-04-20,8老, , , , , , , , , , , , , , , , , , , , 
悼秦,2014,2014-04-16,-2老, , , , , , ,2014-07-04,25老, , , , , , ,2014-04-01,-5老, , , , , , ,2014-04-02,-5老, , , , , , ,2014-06-25,-4老, , , , , , , , , , ,2014-04-14,-17老, , , , , , ,2014-06-02,20老, , , , , , ,2014-07-02,7老,2014-10-03,13老, , , , , , , , , , ,2014-09-03,4老, , ,2014-03-15,9老,2014-03-26,3老, , ,2014-03-21,5老,2014-03-26,0老, , ,2014-03-21,5老,2014-03-26,0老, , ,2014-03-27,4老,2014-04-02,-3老, , ,2014-04-18,-6老,2014-05-01,-11老, , ,2014-03-27,2老,2014-04-09,-2老, , ,2014-03-27,2老,2014-04-07,-6老, , ,2014-10-19,-6老, , , , , , , , ,2014-10-19,-6老, , , , , , , , ,2014-11-20,-3老, , ,2014-11-13,-1老, , , , , , ,2014-12-16,23老,2015-04-25,13老, , , , , , , , , , , , , , , , , , , , 
悼秦,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-05-01,24老, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—,包螟 救凳,—, , ,2015-03-16,10老,2015-03-23,0老,2015-03-31, ,2015-03-20,4老,2015-03-27,1老,2015-03-31, ,2015-03-27,11老,2015-03-30,4老,2015-04-09, ,2015-03-24,1老,2015-03-31,-5老,2015-04-06, , , , , , , ,2015-03-27,2老,2015-04-08,-3老,2015-04-16, ,2015-03-30,5老,2015-04-07,-6老,2015-04-14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , , , , , 
合碍釜,2008, , ,2008-10-23,6老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-09-21, , , ,2008-09-21,-2老, , , , , , , , , , ,2008-08-25,-5老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-30,3老,2008-11-15,10老, , , , , , ,2008-10-20,0老,2008-11-10,7老, , , , , , ,2008-11-30,8老,2009-03-24,0老,2008-11-18,6老,2009-03-28,-2老,2008-12-21,14老,2009-04-01,8老,2008-11-28,12老,2009-04-29,8老,2009-01-11,19老,2009-04-02,31老, , , , , , , , , , , , , , , , 
合碍釜,2009,2009-04-17,-3老,2009-10-22,5老, , , , ,包螟 救凳,—, , , , , , ,2009-04-11,-1老, , , , , , ,2009-04-28,28老, , , , , , ,2009-06-24,8老, , , , , , , , , , ,2009-04-27,14老, , , , , , ,2009-05-28,8老, , , , , , ,2009-06-24,-9老,2009-09-17,-6老,包螟 救凳,—, , , , , , , , ,2009-09-10,11老, , ,2009-03-05,3老,2009-03-16,-4老, , ,2009-03-09,-6老,2009-03-19,-7老, , ,2009-03-11,-5老,2009-03-19,-10老, , ,2009-03-20,-4老,2009-04-04,0老, , ,2009-05-06,13老,2009-05-15,4老, , ,2009-03-18,-8老,2009-04-10,2老, , ,2009-03-19,-7老,2009-04-11,-1老, , ,2009-10-20,-7老,2009-10-28,-8老, , , , , , ,2009-10-20,0老,2009-10-28,-6老, , , , , , ,2009-11-02,-20老,2010-04-08,15老,2009-11-02,-10老,2010-04-16,17老,2009-11-02,-35老,2010-04-07,14老,2009-11-02,-14老,2010-05-01,10老,2009-12-18,-5老,2010-03-31,29老, , , , , , , , , , , , , , , , 
合碍釜,2010,2010-05-04,14老,2010-10-21,4老, , , , ,2010-04-02,-25老, , , , , , ,2010-04-10,-2老, , , , , , ,2010-04-25,25老, , , , , , ,2010-06-16,0老, , , , , , , , , , ,2010-05-30,47老, , , , , , ,2010-05-19,-1老, , , , , , ,2010-06-21,-12老,2010-09-10,-13老,2010-11-02,-15老, , , , , , , , ,2010-09-04,5老, , ,2010-03-18,16老,2010-04-11,22老, , ,2010-03-21,6老,2010-04-10,15老, , ,2010-03-21,5老,2010-04-11,13老, , ,2010-04-01,8老,2010-04-18,14老, , ,2010-05-03,10老,2010-05-22,11老, , ,2010-04-01,6老,2010-04-25,17老, , ,2010-04-01,6老,2010-04-25,13老, , ,2010-10-24,-3老,2010-11-08,3老, , , , , , ,2010-10-24,4老,2010-11-08,5老, , , , , , ,2010-10-28,-25老,2011-04-04,11老,2010-11-03,-9老,2011-04-20,21老,2010-12-07,0老,2011-03-25,1老,2010-11-12,-4老,2011-05-03,12老,2010-12-15,-8老,2011-03-11,9老, , , , , , , , , , , , , , , , 
合碍釜,2011,2011-04-24,4老,2011-10-22,5老, , , , ,2011-05-19,22老, , , , , , ,2011-04-15,3老, , , , , , ,2011-04-15,15老, , , , , , ,2011-07-08,22老, , , , , , , , , , ,2011-04-17,4老, , , , , , ,2011-05-22,2老, , , , , , ,2011-08-07,35老,2011-09-20,-3老,2011-12-12,25老, , , , , , , , ,2011-08-30,0老, , ,2011-03-15,13老,2011-04-01,12老, , ,2011-03-19,4老,2011-04-06,11老, , ,2011-03-23,7老,2011-04-11,13老, , ,2011-03-28,4老,2011-04-11,7老, , ,2011-05-06,13老,2011-05-13,2老, , ,2011-03-23,-3老,2011-04-16,8老, , ,2011-03-30,4老,2011-04-14,2老, , ,2011-10-17,-10老,2011-10-27,-9老, , , , , , ,2011-10-17,-3老,2011-10-27,-7老, , , , , , ,2011-10-19,-34老,2012-01-18,-66老,2011-11-20,8老,2012-04-07,8老,2011-12-01,-6老,2012-04-03,10老,2011-11-30,14老,2012-05-06,15老,2011-12-17,-6老,2012-03-01,-1老, , , , , , , , , , , , , , , , 
合碍釜,2012,2012-04-17,-3老,2012-10-09,-8老, , , , ,2012-04-17,-10老, , , , , , ,2012-04-02,-10老, , , , , , ,2012-04-14,14老, , , , , , ,2012-05-22,-25老, , , , , , , , , , ,2012-04-10,-3老, , , , , , ,2012-05-14,-6老, , , , , , ,2012-07-08,5老,2012-09-26,3老,2012-10-13,-35老, , , , , , , , ,2012-09-03,4老, , ,2012-03-21,19老,2012-04-05,16老, , ,2012-03-29,14老,2012-04-04,9老, , ,2012-03-29,13老,2012-04-05,7老, , ,2012-04-06,13老,2012-04-13,9老, , ,2012-04-17,-6老,2012-05-08,-3老, , ,2012-04-08,13老,2012-04-19,11老, , ,2012-04-05,10老,2012-04-19,7老, , ,2012-10-15,-12老,2012-10-25,-11老, , , , , , ,2012-10-15,-5老,2012-10-25,-9老, , , , , , ,2012-11-02,-20老,2013-04-03,10老,2012-11-02,-10老,2013-04-11,12老,2012-12-01,-6老,2013-04-07,14老,2012-11-13,-3老,2013-04-23,2老,2012-12-08,-15老,2013-02-14,-16老, , , , , , , , , , , , , , , , 
合碍釜,2013,2013-04-27,7老,2013-10-15,-2老, , , , ,2013-04-22,-5老, , , , , , ,2013-04-09,-3老, , , , , , ,2013-03-26,-5老, , , , , , ,2013-06-17,1老, , , , , , , , , , ,搬螟,—, , , , , , ,2013-05-11,-9老, , , , , , ,2013-06-26,-7老,2013-09-28,5老,2013-10-13,-35老, , , , , , , , ,2013-09-06,7老, , ,2013-03-11,9老,2013-04-01,12老, , ,2013-03-17,2老,2013-03-23,-3老, , ,2013-03-19,3老,2013-04-01,3老, , ,2013-03-24,0老,2013-04-09,5老, , ,2013-04-23,0老,2013-05-21,10老, , ,2013-04-03,8老,2013-04-22,14老, , ,2013-04-03,8老,2013-04-22,10老, , ,2013-10-22,-5老,2013-10-30,-6老, , , , , , ,2013-10-22,2老,2013-10-30,-4老, , , , , , ,2013-12-03,11老,2014-03-03,-21老,2013-11-11,-1老,2014-03-15,-15老,2013-11-27,-10老,2014-04-05,12老,2013-11-25,9老,2014-04-25,4老,2013-12-13,-10老,2014-02-19,-11老, , , , , , , , , , , , , , , , 
合碍釜,2014,2014-04-21,1老,2014-10-28,11老, , , , ,2014-04-26,-1老, , , , , , ,2014-03-21,-22老, , , , , , ,2014-03-23,-8老, , , , , , ,2014-06-15,-1老, , , , , , , , , , ,2014-04-08,-5老, , , , , , ,2014-05-17,-3老,2014-10-07, , , , , ,2014-07-01,-2老,2014-10-07,14老,2014-10-09,-39老, , , , , , ,2014-05-03,0老,2014-08-28,-2老, , ,2014-03-17,15老,2014-03-26,6老, , ,2014-03-24,9老,2014-03-28,2老, , ,2014-03-24,8老,2014-03-28,-1老, , ,2014-03-27,3老,2014-04-02,-2老, , ,2014-04-18,-5老,2014-05-03,-8老, , ,搬螟,—,搬螟,—, , ,2014-03-28,2老,2014-04-04,-8老, , ,2014-10-18,-9老,2014-10-28,-8老, , , , , , ,2014-10-18,-2老,2014-10-28,-6老, , , , , , ,2014-11-15,-7老,2015-04-10,17老,2014-11-12,0老,2015-04-09,10老,2014-12-01,-6老,2015-04-14,21老,2014-11-17,1老,2015-04-15,-6老,2014-12-13,-10老,2015-02-14,-16老, , , , , , , , , , , , ,2014-04-02,-3老,2014-04-06, 
合碍釜,2015,2015-03-13,-38老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-22,-21老, , , , , , ,2015-03-23,-8老, , , , , , ,2015-07-11,25老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2015-05-14,-6老, , , , , , ,2015-07-06,3老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—,搬螟,—,搬螟,—,2015-03-03,1老,2015-03-21,1老,搬螟,—,2015-03-17,2老,2015-03-25,-1老,2015-03-30,-2老,2015-03-19,3老,2015-03-27,-2老,2015-04-01,-1老,2015-03-20,-4老,2015-04-03,-1老,2015-04-08,1老,2015-04-17,-6老,2015-05-08,-3老,2015-05-13,-2老,2015-03-31,5老,2015-04-06,-2老,2015-04-20,6老,2015-03-24,-2老,2015-04-15,3老,2015-04-19,4老,2015-10-19,-8老,2015-10-29,-7老, , , , , , ,2015-10-19,-1老,2015-10-29,-5老, , , , , , ,2015-11-28,6老,2016-03-26,2老,2015-11-26,14老,2016-03-21,-9老,2015-11-25,-12老,2016-03-14,-10老,2015-11-20,4老,2016-04-14,-7老,2015-12-28,5老,搬螟,—, , , , , , , , , , , , ,2015-04-05,0老,2015-04-12, 
合碍釜,2016,2016-04-11,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-04-07,-5老, , , , , , ,2016-03-17,-14老, , , , , , ,2016-06-20,4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-05-09, , , ,2016-05-09,-11老, , , , , , ,2016-06-18,-15老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2016-09-03,4老,2016-09-07, ,2016-03-16,14老,2016-03-26,6老,2016-03-31, ,2016-03-21,6老,2016-03-29,3老,2016-03-31,-1老,2016-03-21,5老,2016-03-29,0老,2016-04-04,2老,2016-03-19,-5老,2016-04-04,0老,2016-04-06,-1老,2016-04-15,-8老,2016-05-06,-5老,2016-05-09,-6老,2016-03-31,5老,2016-04-06,-2老,2016-04-09,-5老,2016-03-30,4老,2016-04-09,-3老,2016-04-11,-4老,2016-10-14,-13老,2016-10-24,-12老, , , , , , ,2016-10-14,-6老,2016-10-24,-10老, , , , , , ,2016-11-10,-12老,2017-03-16,-8老,2016-11-01,-11老,2017-03-16,-14老,2016-12-14,7老,2017-03-14,-10老,2016-11-23,7老,2017-04-01,-20老,2017-01-14,22老,搬螟,—, , , , , , , , , , , , ,2016-04-05,0老,2016-04-07, 
合碍釜,2017,2017-05-03,13老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2017-03-01,-30老, , , , , , ,2017-05-18,-29老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2017-05-16,-4老, , , , , , ,2017-06-16,-17老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2017-08-30,0老,2017-09-04, ,2017-02-08,-22老,2017-02-17,-31老,2017-03-01, ,2017-03-09,-6老,2017-03-29,3老,2017-04-02,1老,2017-03-19,3老,2017-03-24,-5老,2017-04-02,0老,2017-03-19,-5老,2017-04-03,-1老,2017-04-04,-3老,2017-04-12,-11老,2017-05-05,-6老,2017-05-07,-8老,2017-04-04,9老,2017-04-08,0老,2017-04-13,-1老,2017-03-27,1老,2017-04-10,-2老,2017-04-12,-3老,2017-10-13,-14老,2017-10-23,-13老, , , , , , ,2017-10-13,-7老,2017-10-23,-11老, , , , , , ,2017-11-24,2老,2018-04-25,32老,2017-11-15,3老,2018-04-07,8老,2017-12-18,11老,2018-04-07,14老,2017-11-04,-12老,2018-04-12,-9老,2017-11-25,-28老,搬螟,—, , , , , , , , , , , , ,2017-04-04,-1老,2017-04-06, 
合碍釜,2018,搬螟,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2018-04-10,10老, , , , , , ,2018-06-29,13老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2018-05-19,-1老, , , , ,2018-09-15, ,2018-06-22,-11老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2018-09-08,9老,2018-09-16, ,2018-03-07,5老,2018-03-24,4老,2018-03-30, ,2018-03-11,-4老,2018-03-22,-4老,2018-03-30,-2老,2018-03-11,-5老,2018-03-26,-3老,2018-04-01,-1老,2018-03-22,-2老,2018-03-31,-4老,2018-04-02,-5老,2018-04-16,-7老,2018-05-01,-10老,2018-05-04,-11老,2018-03-30,4老,2018-04-02,-6老,2018-04-06,-8老,2018-03-27,1老,2018-04-02,-10老,2018-04-04,-11老,2018-10-10,-17老,2018-10-19,-17老, , , , , , ,2018-10-10,-10老,2018-10-19,-15老, , , , , , ,2018-10-28,-25老,2019-04-12,19老,2018-11-20,8老,2019-03-24,-6老,2018-12-05,-2老,2019-03-23,-1老,2018-11-25,9老,2019-04-29,8老,2018-12-10,-13老,搬螟,—, , , , , , , , , , , , ,2018-04-01,-4老,2018-04-02, 
合碍釜,2019,2019-04-28,8老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2019-03-09,-22老, , , , , , ,2019-06-28,12老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,搬螟,—, , , , , , ,2019-06-20,-13老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2019-08-24,-6老,2019-09-09, ,包螟 救凳,—,包螟 救凳,—,包螟 救凳,—,2019-02-23,-20老,2019-03-17,-9老,2019-03-31,-1老,2019-03-08,-8老,2019-03-19,-10老,2019-04-01,-1老,2019-03-20,-4老,2019-03-31,-4老,2019-04-04,-3老,2019-05-08,15老,2019-05-12,1老,2019-05-15,0老,2019-04-01,6老,2019-04-05,-3老,2019-04-08,-6老,2019-03-26,0老,2019-04-05,-7老,2019-04-08,-7老,2019-10-21,-6老,2019-10-30,-6老, , , , , , ,2019-10-21,1老,2019-10-30,-4老, , , , , , ,2019-11-26,4老,2020-03-25,1老,2019-11-18,6老,2020-03-16,-14老,2020-01-30,53老,2020-03-16,-8老,2019-11-25,9老,2020-04-23,2老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2019-03-27,-9老,2019-04-01, 
